feature,importance,importance_std
value,20.731331003774226,0.3678839725074667
pm25_rolling_mean_24,2.7217690665164036,0.260809678730559
pm25_lag_24,0.3131210978291179,0.057005300174057985
pm25_rolling_mean_6,0.2750726918517678,0.009204992865218151
pm25_lag_1,0.26043434474238014,0.06362193759883732
pm25_lag_6,0.1516208440826418,0.02305651759626867
pm25_rolling_std_12,0.12457887328990047,0.02013905992778907
pm25_lag_12,0.11101452209292688,0.09995457056468662
city_grouped,0.06832984983236372,0.04621970109270244
pm25_lag_3,0.03854182912138526,0.034905536133199654
pm25_rolling_mean_12,0.03504932891089787,0.027743222883471353
hour_cos,0.02193532179959412,0.05314189284345835
averaged_over_in_hours,9.522501709291475e-05,0.0024520837449388882
day_of_year,0.0,0.0
day,0.0,0.0
weekday,0.0,0.0
month,0.0,0.0
country_grouped,0.0,0.0
source_grouped,0.0,0.0
month_sin,0.0,0.0
is_weekend,0.0,0.0
month_cos,0.0,0.0
pm25_lag_2,-0.057204814173147156,0.023336725432181644
pm25_rolling_std_6,-0.0649522144937432,0.01807381899358394
forecast_gap_hours,-0.067453010264828,0.04550171583199535
pm25_rolling_std_3,-0.08725018384379517,0.03843019177298754
pm25_rolling_std_24,-0.09181049245045081,0.024317216700199
pm25_rolling_mean_3,-0.18078681631464236,0.024614419792170352
hour,-0.35144977174469216,0.20312329017763084
longitude,-0.5921050935643258,0.1636668789403537
